_id,Empid,skillName,Proficiency,__v
660bc7802e1f83fa6a7b27ac,Emp_8,Requirements Analysis,Advance,
660bc7802e1f83fa6a7b2790,Emp_1,Support,Expert,
660bc7802e1f83fa6a7b279d,Emp_4,Data Analysis,Intermidiate,
660bc7802e1f83fa6a7b278e,Emp_0,Vue.js,Advance,
660bc7802e1f83fa6a7b2794,Emp_2,Communication,Beginner,
660bc7802e1f83fa6a7b27a3,Emp_5,JavaScript,Expert,
660bc7802e1f83fa6a7b27b3,Emp_9,Vue.js,Beginner,
660bc7802e1f83fa6a7b27be,Emp_12,JavaScript,Beginner,
660bc7802e1f83fa6a7b27d1,Emp_17,DevOps,Advance,
660bc7802e1f83fa6a7b27d2,Emp_17,C#,Intermidiate,
660bc7802e1f83fa6a7b27e5,Emp_22,AWS,Expert,
660bc7802e1f83fa6a7b27e8,Emp_23,Java,Beginner,
660bc7802e1f83fa6a7b2828,Emp_39,Support,Expert,
660bc7802e1f83fa6a7b2833,Emp_41,Python,Beginner,
660bc7802e1f83fa6a7b2859,Emp_51,Data Science,Expert,
660bc7802e1f83fa6a7b2879,Emp_59,Technical Writing,Beginner,
660bc7802e1f83fa6a7b288b,Emp_63,Azure,Intermidiate,
660bc7802e1f83fa6a7b289e,Emp_68,Interaction Design,Advance,
660bc7802e1f83fa6a7b28b6,Emp_74,Troubleshooting,Intermidiate,
660bc7802e1f83fa6a7b28c1,Emp_77,Behavior-Driven Development,Expert,
660bc7802e1f83fa6a7b28c8,Emp_79,Test-Driven Development,Advance,
660bc7802e1f83fa6a7b28f7,Emp_90,Artificial Intelligence,Intermidiate,
660bc7802e1f83fa6a7b2908,Emp_95,JavaScript,Intermidiate,
660bc7802e1f83fa6a7b2916,Emp_98,AWS,Intermidiate,
660bc7802e1f83fa6a7b2935,Emp_106,Accessibility,Advance,
660bc7802e1f83fa6a7b2940,Emp_109,CI/CD,Intermidiate,
660bc7802e1f83fa6a7b2959,Emp_115,User Research,Advance,
660bc7802e1f83fa6a7b2979,Emp_123,Agile Product Management,Intermidiate,
660bc7802e1f83fa6a7b279a,Emp_3,Node.js,Intermidiate,
660bc7802e1f83fa6a7b279b,Emp_3,User Research,Intermidiate,
660bc7802e1f83fa6a7b27a8,Emp_7,RESTful API,Advance,
660bc7802e1f83fa6a7b27ab,Emp_7,Vue.js,Advance,
660bc7802e1f83fa6a7b27b6,Emp_10,Swift,Beginner,
660bc7802e1f83fa6a7b27bc,Emp_12,Prototyping,Expert,
660bc7802e1f83fa6a7b27c2,Emp_13,MongoDB,Beginner,
660bc7802e1f83fa6a7b27cb,Emp_15,Data Science,Expert,
660bc7802e1f83fa6a7b27ee,Emp_24,PostgreSQL,Beginner,
660bc7802e1f83fa6a7b27ff,Emp_28,Docker,Advance,
660bc7802e1f83fa6a7b2800,Emp_29,Data Analysis,Intermidiate,
660bc7802e1f83fa6a7b2803,Emp_29,Requirements Analysis,Intermidiate,
660bc7802e1f83fa6a7b2811,Emp_33,Support,Advance,
